Player Name,Rating,Quality,Rarity,Position,Nation,League,Club,Price Range,FUTBIN Price,Bought For,Discard Value,Contract Left,IsUntradable,IsLoaned
Zidane,97,Gold,Special,CAM,France,Icons,ICON,Min:287000 Max:5400000,4460000,0,0,7,true,true,
Mbappé,91,Gold,RARE,ST,France,Ligue 1 Uber Eats,Paris SG,Min:20000 Max:380000,288000,0,0,1,true,true,
Casemiro,91,Gold,Special,CM,Brazil,Premier League,Manchester Utd,--NA--,48250,0,0,7,true,true,
Son,89,Gold,RARE,LW,Korea Republic,Premier League,Spurs,Min:9100 Max:42500,20250,0,0,3,true,true,
Kane,89,Gold,RARE,ST,England,Premier League,Spurs,--NA--,20000,0,0,4,true,false,
Modrić,88,Gold,RARE,CM,Croatia,LaLiga Santander,Real Madrid,--NA--,16750,0,0,19,true,false,
Al Owairan,88,Gold,Special,ST,Saudi Arabia,ROSHN Saudi League,HERO,--NA--,305000,0,0,25,true,false,
Rúben Dias,88,Gold,RARE,CB,Portugal,Premier League,Manchester City,--NA--,15500,0,0,7,true,false,
ter Stegen,88,Gold,RARE,GK,Germany,LaLiga Santander,FC Barcelona,Min:6100 Max:30000,16250,0,0,3,true,false,
Alexander-Arnold,87,Gold,RARE,RB,England,Premier League,Liverpool,Min:5100 Max:24000,13000,0,0,1,true,true,
Kaká,87,Gold,Special,CAM,Brazil,Icons,ICON,--NA--,138000,0,0,10,true,true,
Lloris,87,Gold,RARE,GK,France,Premier League,Spurs,--NA--,12000,0,0,24,true,false,
Koulibaly,87,Gold,RARE,CB,Senegal,Premier League,Chelsea,--NA--,13000,0,0,6,true,false,
Sócrates,87,Gold,Special,CAM,Brazil,Icons,ICON,Min:65500 Max:130000,81500,0,0,0,true,true,
Fekir,87,Gold,Special,CAM,France,LaLiga Santander,Real Betis,Min:10750 Max:40000,25500,0,0,7,true,true,
Essien,87,Gold,Special,CDM,Ghana,Icons,ICON,Min:65500 Max:140000,76500,0,0,7,true,true,
Müller,87,Gold,RARE,CAM,Germany,Bundesliga,FC Bayern München,Min:5100 Max:24000,12000,0,0,7,true,false,
Tchouaméni,86,Gold,Special,CDM,France,LaLiga Santander,Real Madrid,--NA--,20000,0,0,3,true,false,
Dybala,86,Gold,RARE,CF,Argentina,Serie A TIM,Roma FC,--NA--,13500,0,0,7,true,false,
Hernández,86,Gold,Special,LB,France,Serie A TIM,Milan,--NA--,73500,0,0,7,true,false,
Govou,86,Gold,Special,ST,France,Ligue 1 Uber Eats,HERO,Min:10500 Max:35000,15000,0,0,3,true,true,
Donovan,86,Gold,Special,CF,United States,MLS,HERO,Min:10500 Max:30000,12000,0,0,7,true,true,
Vinícius Jr.,86,Gold,RARE,LW,Brazil,LaLiga Santander,Real Madrid,Min:3600 Max:35000,13750,0,0,7,true,true,
Immobile,86,Gold,RARE,ST,Italy,Serie A TIM,Latium,Min:3600 Max:20000,9900,0,0,10,true,true,
Vinícius Jr.,86,Gold,RARE,LW,Brazil,LaLiga Santander,Real Madrid,Min:3600 Max:35000,13750,0,0,7,true,false,
Lee Dong Jun,85,Gold,Special,RM,Korea Republic,Bundesliga,Hertha Berlin,Min:5000 Max:10000,--NA--,0,0,7,true,false,
Gyasi,85,Gold,Special,RW,Ghana,Serie A TIM,Spezia,Min:5000 Max:10000,--NA--,0,0,7,true,false,
Fekir,85,Gold,RARE,CAM,France,LaLiga Santander,Real Betis,Min:2100 Max:13000,8500,0,0,7,true,false,
Acuña,85,Gold,RARE,LB,Argentina,LaLiga Santander,Sevilla FC,Min:2100 Max:17000,8000,0,0,7,true,false,
Diogo Jota,85,Gold,RARE,CF,Portugal,Premier League,Liverpool,Min:2100 Max:16000,8600,0,0,7,true,false,
Süle,85,Gold,RARE,CB,Germany,Bundesliga,Borussia Dortmund,Min:2100 Max:16000,8000,0,0,7,true,false,
Iago Aspas,85,Gold,RARE,ST,Spain,LaLiga Santander,RC Celta,Min:2100 Max:16000,8500,0,0,7,true,false,
Buchanan,85,Gold,Special,RM,Canada,1A Pro League,Club Brugge,Min:100 Max:10000,--NA--,0,0,7,true,false,
Gerard Moreno,85,Gold,RARE,ST,Spain,LaLiga Santander,Villarreal CF,Min:2100 Max:16000,8000,0,0,7,true,false,
James,84,Gold,RARE,RB,England,Premier League,Chelsea,--NA--,4000,9400,1000,12,false,false,
Ødegaard,84,Gold,RARE,CAM,Norway,Premier League,Arsenal,--NA--,3500,2400,1000,17,false,false,
Grealish,84,Gold,RARE,CAM,England,Premier League,Manchester City,--NA--,4100,0,0,4,true,false,
Perišić,84,Gold,RARE,LM,Croatia,Premier League,Spurs,--NA--,3700,0,0,7,true,false,
Savić,84,Gold,RARE,CB,Montenegro,LaLiga Santander,Atlético de Madrid,--NA--,4000,0,0,7,true,false,
Havertz,84,Gold,RARE,CAM,Germany,Premier League,Chelsea,Min:1100 Max:10000,4000,0,0,5,true,true,
Grealish,84,Gold,RARE,LW,England,Premier League,Manchester City,Min:1100 Max:10000,4100,0,0,9,true,true,
Çalhanoğlu,84,Gold,RARE,CM,Turkey,Serie A TIM,Inter,Min:1100 Max:10000,3900,0,1000,7,false,false,
Diaby,84,Gold,RARE,RM,France,Bundesliga,Leverkusen,Min:1100 Max:10000,4000,2900,1000,7,false,false,
Berardi,84,Gold,RARE,RM,Italy,Serie A TIM,Sassuolo,Min:1100 Max:10000,3700,0,0,7,true,false,
Kovačić,84,Gold,RARE,CM,Croatia,Premier League,Chelsea,Min:1100 Max:10000,3700,0,0,7,true,false,
Bonucci,84,Gold,RARE,CB,Italy,Serie A TIM,Juventus,Min:1100 Max:10000,3900,0,0,7,true,false,
Tadić,84,Gold,RARE,LW,Serbia,Eredivisie,Ajax,Min:1100 Max:10000,3900,0,0,7,true,false,
de Vrij,84,Gold,RARE,CB,Netherlands,Serie A TIM,Inter,Min:1100 Max:10000,3900,0,0,7,true,false,
Rafael Leão,84,Gold,RARE,LW,Portugal,Serie A TIM,Milan,Min:1100 Max:10000,3700,0,0,7,true,false,
Bounou,84,Gold,RARE,GK,Morocco,LaLiga Santander,Sevilla FC,Min:1100 Max:10000,4700,0,0,7,true,false,
Mount,84,Gold,RARE,CAM,England,Premier League,Chelsea,Min:1100 Max:10000,4300,0,0,7,true,false,
Muniain,84,Gold,RARE,LM,Spain,LaLiga Santander,Athletic Club,Min:1100 Max:10000,3700,0,0,7,true,false,
Carvajal,84,Gold,RARE,RB,Spain,LaLiga Santander,Real Madrid,Min:1100 Max:10000,4100,0,0,7,true,false,
Tonali,84,Gold,RARE,CDM,Italy,Serie A TIM,Milan,Min:1100 Max:10000,6500,0,0,7,true,false,
Bellingham,84,Gold,RARE,CM,England,Bundesliga,Borussia Dortmund,Min:1100 Max:10000,3900,0,0,7,true,false,
Gómez,84,Gold,RARE,CAM,Argentina,LaLiga Santander,Sevilla FC,Min:1100 Max:10000,4000,0,0,7,true,false,
Hazard,84,Gold,RARE,LW,Belgium,LaLiga Santander,Real Madrid,Min:1100 Max:10000,4000,0,0,7,true,false,
Partey,84,Gold,RARE,CDM,Ghana,Premier League,Arsenal,Min:1100 Max:10000,3800,0,0,7,true,false,
Matip,84,Gold,RARE,CB,Cameroon,Premier League,Liverpool,Min:1100 Max:10000,3700,0,0,7,true,false,
João Félix,84,Gold,RARE,CF,Portugal,Premier League,Chelsea,Min:1100 Max:10000,4000,0,0,7,true,false,
Kamada,83,Gold,Special,CAM,Japan,Bundesliga,Frankfurt,Min:10250 Max:30000,23000,0,0,7,true,false,
Correa,83,Gold,RARE,ST,Argentina,LaLiga Santander,Atlético de Madrid,Min:850 Max:10000,6200,1900,750,12,false,false,
Pau Torres,83,Gold,RARE,CB,Spain,LaLiga Santander,Villarreal CF,--NA--,1900,0,0,19,true,false,
Lemar,83,Gold,RARE,CM,France,LaLiga Santander,Atlético de Madrid,--NA--,1900,0,0,19,true,false,
Gabriel Jesus,83,Gold,RARE,ST,Brazil,Premier League,Arsenal,--NA--,2300,1600,750,21,false,false,
Diego Carlos,83,Gold,RARE,CB,Brazil,Premier League,Aston Villa,--NA--,2200,0,0,5,true,false,
Stones,83,Gold,RARE,CB,England,Premier League,Manchester City,--NA--,2700,0,0,5,true,false,
Laimer,83,Gold,RARE,CDM,Austria,Bundesliga,RB Leipzig,Min:850 Max:10000,2200,0,0,7,true,true,
