"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"Alexander-Arnold","86","Rare","RB","England","Premier League","Liverpool","Min:3700 Max:20000","0","0","true","true","231281","false","false","RB","6500"
"Mahrez","85","Rare","RM","Algeria","ROSHN Saudi League","Al Ahli","--NA--","0","0","true","true","204485","false","true","RM,RW","2900"
"Pickford","83","Rare","GK","England","Premier League","Everton","Min:800 Max:10000","0","589","false","false","204935","false","false","GK","2100"
"Botman","82","Common","CB","Netherlands","Premier League","Newcastle Utd","Min:300 Max:5000","0","0","true","false","251809","false","false","CB","400"
"Savinho","82","Common","LW","Brazil","Premier League","Manchester City","Min:300 Max:5000","0","291","false","false","270409","false","false","LM,LW","1400"
"Ginter","82","Rare","CB","Germany","Bundesliga","SC Freiburg","Min:600 Max:8100","0","582","false","false","207862","false","false","CB","750"
"Kamara","82","Rare","CDM","France","Premier League","Aston Villa","Min:600 Max:8100","0","582","false","false","236987","false","false","CDM,CM","650"
"Kramarić","81","Rare","ST","Croatia","Bundesliga","TSG Hoffenheim","Min:600 Max:6000","0","575","false","false","216354","false","false","CM,CAM,ST","650"
"Lakrar","80","Common","CB","France","Liga F","Real Madrid CF","Min:300 Max:5000","0","0","true","false","265849","false","false","CB","2500"
"Simakan","80","Rare","CB","France","ROSHN Saudi League","Al Nassr","Min:600 Max:5200","0","0","true","false","50575502","false","false","RB,CB","850"
"Medrán","79","Common","CM","Spain","ROSHN Saudi League","Ettifaq FC","Min:300 Max:5000","0","0","true","false","212476","false","false","CM,CAM","400"
"Kondogbia","79","Rare","CM","CAR","Ligue 1 McDonald's","OM","Min:600 Max:5000","0","561","false","false","201455","false","false","CDM,CM","650"
"Scalvini","78","Common","CB","Italy","Serie A Enilive","Bergamo Calcio","--NA--","0","0","true","false","265188","false","true","CB","350"
"Rovella","78","Common","CM","Italy","Serie A Enilive","Latium","--NA--","0","0","true","false","255001","false","true","CDM,CM","900"
"Demirbay","78","Common","CM","Germany","Trendyol Süper Lig","Galatasaray","Min:300 Max:5000","0","0","true","false","211748","false","false","CDM,CM,CAM","2200"
"Guaita","78","Common","GK","Spain","LALIGA EA SPORTS","RC Celta","Min:300 Max:5000","0","0","true","false","189690","false","false","GK","800"
"Belotti","78","Common","ST","Italy","Serie A Enilive","Como","Min:300 Max:5000","0","0","true","false","208596","false","false","ST","400"
"Stengs","77","Common","CAM","Netherlands","Eredivisie","Feyenoord","Min:300 Max:5000","0","0","true","false","236593","false","false","CAM,RW","350"
"João Pedro","77","Common","ST","Brazil","Premier League","Brighton","Min:300 Max:5000","0","0","true","false","252042","false","false","LM,CAM,ST","450"
"Jota Silva","77","Common","RM","Portugal","Premier League","Nott'm Forest","Min:300 Max:5000","0","0","true","false","269421","false","false","RM,LM,RW,ST","350"
"Álvaro Djaló","77","Common","RM","Spain","LALIGA EA SPORTS","Athletic Club","Min:300 Max:5000","0","0","true","false","271302","false","false","RM,LM,CAM,RW","700"
"Diakité","77","Common","CB","France","Ligue 1 McDonald's","LOSC Lille","Min:300 Max:5000","0","273","false","false","246565","false","false","RB,CB","450"
"Tel","77","Rare","ST","France","Bundesliga","FC Bayern München","Min:550 Max:5000","0","547","false","false","268421","false","false","RM,LM,ST","1400"
"Mounié","76","Common","ST","Benin","Bundesliga","FC Augsburg","Min:300 Max:5000","0","0","true","false","224883","false","false","ST","350"
"Semenyo","76","Common","RM","Ghana","Premier League","AFC Bournemouth","Min:300 Max:5000","0","0","true","false","241236","false","false","RM,LM,RW","350"
"Coda","75","Common","ST","Italy","Serie BKT","Sampdoria","--NA--","0","0","true","false","185144","false","true","ST","350"
"De Cordova-Reid","75","Common","RM","Jamaica","Premier League","Leicester City","Min:300 Max:5000","0","0","true","false","203502","false","false","RM,LM,RW","350"
"Murić","75","Common","GK","Kosovo","Premier League","Ipswich","Min:300 Max:5000","0","0","true","false","233164","false","false","GK","450"
"Fercocq","75","Common","CB","France","Arkema PL","En Avant Guingamp","Min:300 Max:5000","0","0","true","false","265875","false","false","CB,CDM","350"
"Nuno Tavares","74","Rare","LB","Portugal","Serie A Enilive","Latium","Min:300 Max:5100","0","259","false","false","251530","false","false","LB,LM","3400"
"Chará","71","Rare","LM","Colombia","Libertadores","Junior","Min:250 Max:5100","0","249","false","false","214132","false","false","RM,LM,CAM,LW","400"
"Godwin","71","Rare","LM","Nigeria","ROSHN Saudi League","Al Okhdood","Min:250 Max:5100","0","249","false","false","230764","false","false","LM,LW","5100"
"Yalçın","70","Common","ST","Türkiye","Liga Portugal","Arouca","Min:150 Max:5000","0","105","false","false","50577016","false","false","RM,LM,ST","350"
"Mazzocchi","69","Common","ST","Italy","Serie BKT","Cosenza","--NA--","0","0","true","false","268736","false","true","CAM,ST,LW","250"
"Cisotti","68","Common","CM","Italy","SUPERLIGA","SC Oțelul Galați","--NA--","0","0","true","false","216800","false","true","CM,CAM,RW","5000"
"Lonwijk","68","Common","CM","Suriname","3F Superliga","Viborg FF","Min:150 Max:5000","0","102","false","false","50583277","false","false","RM,CM","250"
"André Sousa","67","Common","CM","Portugal","Liga Portugal","Nacional","Min:150 Max:5000","0","101","false","false","205598","false","false","CM","300"
"Tachi","67","Common","CB","Spain","LALIGA HYPERMOTION","CD Mirandés","Min:150 Max:5000","0","101","false","false","238446","false","false","CB,CDM,CM","600"
"Al Juwair","67","Common","CM","Saudi Arabia","ROSHN Saudi League","Al Shabab","Min:150 Max:5000","0","101","false","false","50595472","false","false","CDM,CM","450"
"Kostons","66","Common","ST","Netherlands","Bundesliga 2","SC Paderborn 07","Min:150 Max:5000","0","99","false","false","279948","false","false","RW,ST","350"
"Surdez","65","Common","LM","Switzerland","1A Pro League","KAA Gent","Min:150 Max:5000","0","98","false","false","70427","false","false","LM,LW","1400"
"Grimmer","65","Common","RB","Scotland","EFL League One","Wycombe","Min:150 Max:5000","0","98","false","false","205015","false","false","RB,CB","350"
"Valencia","65","Common","RB","Ecuador","Sudamericana","Técnico U.","Min:150 Max:5000","0","98","false","false","254433","false","false","RB,RM","200"
"Mosti","64","Common","CAM","Italy","Serie BKT","SS Juve Stabia","--NA--","0","0","true","false","257768","false","false","CAM","350"
"Lee You Hyeon","63","Common","RB","Korea Republic","K League 1","Gangwon FC","--NA--","0","0","true","false","238089","false","true","RB,LB,CM","200"
"Cassata","63","Common","CM","Italy","Serie BKT","Spezia","--NA--","0","0","true","false","235942","false","false","RM,CM,LM","200"
"Danciu","63","Common","RM","Romania","SUPERLIGA","Univ. Craiova","--NA--","0","0","true","false","258373","false","false","RM,LM,CAM,RW","200"
"Lucchesi","62","Common","CB","Italy","Serie BKT","Reggiana","--NA--","0","0","true","false","50609953","false","true","CB","300"
"Pieragnolo","61","Common","LB","Italy","Serie BKT","Sassuolo","--NA--","0","0","true","false","276705","false","true","LB,LM","300"
"Clarke","61","Common","LM","Republic of Ireland","SSE Airtricity PD","Shamrock Rovers","--NA--","0","0","true","false","231926","false","true","LB,LM,LW","200"
