Id,Name,Rating,RarityId,Rarity,Preferred Position,Nation,League,Team,Untradeable,Loans,IsDuplicate,IsInActive11,Groups,Alternate Positions,ExternalPrice
252277,Park Dae Won,60,0,Common,CB,Korea Rep.,K League 1,Gimcheon Sangmu,TRUE,FALSE,FALSE,FALSE,0,"CB,LB",200
252278,Kim Ju Kong,63,1,Rare,CM,Korea Rep.,K League 1,Jeju United,TRUE,FALSE,FALSE,FALSE,4,"CM,ST,LW",200
50602363,Lewicki Jakub,58,0,Common,LM,Poland,PKO BP Ekstraklasa,Piast Gliwice,TRUE,FALSE,FALSE,FALSE,0,"LM,LB,LW",200
252280,Nilsson Alexander,56,0,Common,GK,Sweden,Eliteserien,HamKam Fotball,TRUE,FALSE,FALSE,FALSE,0,GK,200
231258,Macagno Ramiro,71,1,Rare,GK,Argentina,LPF,Newell's,TRUE,FALSE,FALSE,FALSE,4,GK,300
50602368,Benn Jay,55,0,Common,RB,England,EFL League Two,Bradford City,TRUE,FALSE,FALSE,FALSE,0,RB,200
252284,Simao Bertelli,66,0,Common,GK,Brazil,Liga Portugal,AVS Futebol SAD,TRUE,FALSE,FALSE,FALSE,0,GK,250
231266,Janvier Nicolas,68,0,Common,CM,France,Trendyol Super Lig,Alanyaspor,TRUE,FALSE,FALSE,FALSE,0,CM,200
210243,Ricardo Pereira,78,0,Common,RB,Portugal,Premier League,Leicester City,TRUE,FALSE,FALSE,FALSE,0,RB,500
189221,Joao Aurelio,69,0,Common,RB,Portugal,Liga Portugal,Nacional,TRUE,FALSE,FALSE,FALSE,0,RB,200
210244,Angol Lee,59,0,Common,ST,England,EFL League Two,Morecambe,TRUE,FALSE,FALSE,FALSE,0,ST,200
252290,Esposito Salvatore,69,0,Common,CM,Italy,Serie BKT,Spezia,TRUE,FALSE,FALSE,FALSE,0,"CM,CDM",200
252293,Jakobs Ismail,74,1,Rare,LB,Senegal,Ligue 1 McDonald's,AS Monaco,TRUE,FALSE,FALSE,FALSE,4,"LB,LM",0
189228,Caire Maximiliano,68,0,Common,RB,Argentina,Libertadores,The Strongest,TRUE,FALSE,FALSE,FALSE,0,"RB,CB",200
252302,Larouci Yasser,68,0,Common,LB,Algeria,EFL Championship,Watford,TRUE,FALSE,FALSE,FALSE,0,LB,400
27,Cole Joe,87,72,UT Heroes,RW,England,Premier League,HERO,TRUE,FALSE,FALSE,FALSE,8,"RW,RM,CAM,LW",350000
231280,Ivan Alejo,70,0,Common,RM,Spain,LALIGA HYPERMOTION,Cadiz CF,TRUE,FALSE,FALSE,FALSE,0,"RM,LM,RW",800
210257,Ederson,88,1,Rare,GK,Brazil,Premier League,Manchester City,TRUE,FALSE,FALSE,FALSE,4,GK,17250
231281,Alexander-Arnold Trent,86,1,Rare,RB,England,Premier League,Liverpool,TRUE,FALSE,FALSE,FALSE,4,RB,8300
252305,Evans Cameron,58,0,Common,CB,Wales,EFL League Two,Newport County,TRUE,FALSE,FALSE,FALSE,0,CB,200
231284,Delaney Ryan,62,0,Common,CB,Ireland,EFL League Two,Swindon Town,TRUE,FALSE,FALSE,FALSE,0,CB,200
252308,Al Musrati Ali,80,1,Rare,CDM,Libya,Trendyol Super Lig,Besiktas,TRUE,FALSE,FALSE,FALSE,4,"CDM,CM",650
210263,Duffy Michael,65,0,Common,LM,Ireland,SSE Airtricity PD,Derry City,TRUE,FALSE,FALSE,FALSE,0,"LM,LW",200
252310,Miguel Reisinho,71,0,Common,CM,Portugal,Liga Portugal,Boavista FC,TRUE,FALSE,FALSE,FALSE,0,"CM,CDM,CAM",200
50560350,de Jong Frenkie,88,94,New Rare 94,CM,Netherlands,LALIGA EA SPORTS,FC Barcelona,TRUE,FALSE,FALSE,FALSE,0,"CM,CDM",1044000
252313,Marin Marius,67,0,Common,CM,Romania,Serie BKT,Pisa,TRUE,FALSE,FALSE,FALSE,0,"CM,CDM",200
252315,Candela Antonio,72,1,Rare,RB,Italy,Serie A Enilive,Venezia,TRUE,FALSE,FALSE,FALSE,4,RB,400
252316,Ekdal Hjalmar,72,0,Common,CB,Sweden,EFL Championship,Burnley,TRUE,FALSE,FALSE,FALSE,0,CB,200
189248,Amsif Mohamed,62,0,Common,GK,Morocco,3. Liga,Wehen Wiesbaden,TRUE,FALSE,FALSE,FALSE,0,GK,200
252317,Nemeth David,67,0,Common,CB,Austria,Bundesliga,FC St. Pauli,TRUE,FALSE,FALSE,FALSE,0,CB,450
252318,Behounek Raffael,67,0,Common,CB,Austria,Eredivisie,Willem II,TRUE,FALSE,FALSE,FALSE,0,CB,200
252320,Park Kyu Hyun,64,1,Rare,LB,Korea Rep.,3. Liga,Dynamo Dresden,TRUE,FALSE,FALSE,FALSE,4,LB,200
252324,Riquelme,78,0,Common,LM,Spain,LALIGA EA SPORTS,Atletico de Madrid,TRUE,FALSE,FALSE,FALSE,0,"LM,LB,LW",400
50560364,Kevin,75,0,Common,RB,Spain,LALIGA HYPERMOTION,R. Sporting,TRUE,FALSE,FALSE,FALSE,0,RB,450
231303,Grace Lee,63,0,Common,CB,Ireland,SSE Airtricity PD,Shamrock Rovers,TRUE,FALSE,FALSE,FALSE,0,CB,200
51,Shearer Alan,89,12,Icon,ST,England,Icons,Icon,TRUE,FALSE,FALSE,FALSE,7,ST,119000
252327,Manu Sanchez,74,1,Rare,LB,Spain,LALIGA EA SPORTS,D. Alaves,TRUE,FALSE,FALSE,FALSE,4,"LB,LM",350
231307,Poaty Morgan,67,1,Rare,LB,Congo,CSSL ,Lausanne-Sport,TRUE,FALSE,FALSE,FALSE,4,"LB,LM",300
252330,Burrell Rumarn,55,0,Common,ST,England,EFL League One,Burton Albion,TRUE,FALSE,FALSE,FALSE,0,ST,200
252332,Zhang Wei,57,0,Common,ST,China PR,CSL,Qingdao Hainiu,TRUE,FALSE,FALSE,FALSE,0,"ST,CB",200
252339,Tiago Djalo,76,1,Rare,CB,Portugal,Serie A Enilive,Juventus,TRUE,FALSE,FALSE,FALSE,4,CB,0
231318,Perraud Romain,74,1,Rare,LB,France,LALIGA EA SPORTS,Real Betis,TRUE,FALSE,FALSE,FALSE,4,LB,450
252342,van den Berg Connor,60,0,Common,GK,Netherlands,Eredivisie,Willem II,TRUE,FALSE,FALSE,FALSE,0,GK,200
231320,Jose Amo,70,0,Common,CB,Spain,LALIGA HYPERMOTION,CD Tenerife,TRUE,FALSE,FALSE,FALSE,0,"CB,CDM",200
231322,Kabangu Elton,64,1,Rare,ST,Belgium,1A Pro League,R. Union St.-G.,TRUE,FALSE,FALSE,FALSE,4,"ST,LW",200
189280,Westwood Ashley,74,1,Rare,CDM,England,MLS,Charlotte FC,TRUE,FALSE,FALSE,FALSE,4,"CDM,CM",350
252349,Won Ki Jong,61,0,Common,ST,Korea Rep.,K League 1,Gimcheon Sangmu,TRUE,FALSE,FALSE,FALSE,0,"ST,LM",200
