"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Contract","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"Maldini","93","Ultimate Dynasties ICON","CB","Italy","Icons","ICON","Min:387000 Max:7300000","0","0","0","true","true","50570087","false","false","CB,LB","4000000"
"Hamm","93","Icon","ST","United States","Icons","ICON","Min:561000 Max:10600000","0","0","0","true","true","275243","false","false","CAM,CF,RW,ST","5720000"
"Katoto","92","Thunderstruck","ST","France","D1 Arkema","Paris SG","Min:11250 Max:150000","0","0","0","true","true","50577920","false","false","CF,ST","104000"
"Yashin","92","Icon","GK","Russia","Icons","ICON","Min:69000 Max:750000","0","0","0","true","true","238380","false","false","GK","540000"
"Kane","92","Trailblazers","ST","England","Bundesliga","FC Bayern München","Min:11500 Max:220000","0","0","32","true","false","67310990","false","false","CF,ST","159000"
"Haaland","91","Rare","ST","Norway","Premier League","Manchester City","Min:10500 Max:95000","0","0","5","true","true","239085","false","false","CF,ST","85000"
"Alexia Putellas","91","Nike","CM","Spain","Liga F","FC Barcelona","Min:50000 Max:1900000","0","0","19","true","true","50558851","false","false","CM,LW","850000"
"Lineker","91","Winter Wildcards ICON","LW","England","Icons","ICON","Min:70000 Max:1300000","0","0","2","true","true","50545915","false","false","LM,CF,ST,LW","95000"
"Zico","91","Icon","CAM","Brazil","Icons","ICON","Min:288000 Max:5500000","0","0","24","true","false","166691","false","true","CM,CAM,CF","2050000"
"Kerr","90","Rare","ST","Australia","Barclays WSL","Chelsea","Min:10500 Max:85000","0","0","3","true","true","227125","false","false","CF,ST","64000"
"Fernando Morientes","90","Triple Threat Heroes","ST","Spain","LALIGA EA SPORTS","HERO","Min:11000 Max:130000","0","0","7","true","true","50337309","false","false","CF,ST","60500"
"Zanetti","90","Centurions ICON","RB","Argentina","Icons","ICON","Min:30000 Max:550000","0","0","7","true","true","50332689","false","false","RWB,RB,LB,CM","210000"
"Rúben Dias","90","Trailblazers","CB","Portugal","Premier League","Manchester City","Min:11000 Max:120000","0","0","7","true","true","50571466","false","false","CB","97500"
"Hagi","90","Ultimate Dynasties ICON","CAM","Romania","Icons","ICON","Min:12750 Max:240000","0","0","7","true","true","50497772","false","false","CM,LM,CAM","148000"
"Roberto Carlos","90","Icon","LB","Brazil","Icons","ICON","Min:109000 Max:2100000","0","0","24","true","false","238430","false","true","LB,LWB","1199000"
"Vini Jr.","89","Rare","LW","Brazil","LALIGA EA SPORTS","Real Madrid","Min:36000 Max:700000","0","0","0","true","true","238794","false","false","LM,LW","380000"
"Lahm","89","Icon","RB","Germany","Icons","ICON","Min:67000 Max:340000","0","0","5","true","true","121939","false","true","RWB,RB,LB,CDM","125000"
"Musiala","89","Centurions","CAM","Germany","Bundesliga","FC Bayern München","Min:15000 Max:280000","0","0","7","true","true","67365654","false","false","CM,LM,CAM","171000"
"Barnes","89","Winter Wildcards ICON","CF","England","Icons","ICON","Min:20000 Max:380000","0","0","2","true","true","50579163","false","false","CF,ST","65000"
"van Dijk","89","Rare","CB","Netherlands","Premier League","Liverpool","Min:10750 Max:200000","108000","632","26","false","false","203376","false","true","CB","138000"
"Diani","89","Rare","RW","France","D1 Arkema","OL","Min:9100 Max:70000","0","0","1","true","false","227361","false","true","RM,RW,ST","33250"
"Lahm","89","Icon","RB","Germany","Icons","ICON","Min:67000 Max:340000","0","0","12","true","false","121939","false","true","RWB,RB,LB,CDM","125000"
"Bompastor","89","UEFA Heroes (Womens)","LB","France","D1 Arkema","HERO","Min:18750 Max:360000","0","0","26","true","false","50606740","false","true","LB,LWB,LM","159000"
"Rodri","89","Rare","CDM","Spain","Premier League","Manchester City","Min:9100 Max:65000","0","0","7","true","false","231866","false","false","CDM,CM","31000"
"Di María","88","UCL Road to the Knockouts","CF","Argentina","Liga Portugal","SL Benfica","Min:10750 Max:60000","0","0","7","true","true","50515546","false","false","RM,CF,RW,ST","25500"
"Hernández","88","Winter Wildcards ICON","ST","Mexico","Icons","ICON","Min:500 Max:10000","0","0","5","true","true","50488001","false","true","CF,ST","123550"
"Aubameyang","88","Radioactive","ST","Gabon","Ligue 1 Uber Eats","OM","Min:1000 Max:10000","0","0","8","true","false","67297431","false","true","CF,ST","86300"
