"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Contract","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"Henry","91","Special","ST","France","Icons","ICON","Min:69000 Max:4750000","0","0","11","true","true","1625","false","false","CF,ST,LW","2020000"
"Roberto Carlos","90","Special","LB","Brazil","Icons","ICON","--NA--","0","0","11","true","true","238430","false","false","LB,LWB","970000"
"Hegerberg","89","Rare","ST","Norway","D1 Arkema","OL","Min:9100 Max:37500","0","0","7","true","false","227310","false","false","CF,ST","19000"
"Robertson","86","Rare","LB","Scotland","Premier League","Liverpool","Min:3600 Max:45000","0","0","7","true","false","216267","false","false","LB,LWB","14000"
"Saka","86","Rare","RW","England","Premier League","Arsenal","Min:3600 Max:65000","0","0","7","true","false","246669","false","false","RM,RW","14250"
"Sheridan","85","Rare","GK","Canada","NWSL","San Diego Wave","--NA--","0","0","7","true","false","237673","false","false","GK","3800"
"Alaba","85","Rare","CB","Austria","LALIGA EA SPORTS","Real Madrid","--NA--","0","0","3","true","false","197445","false","false","CB,LB","20750"
"Bennacer","84","Rare","CDM","Algeria","Serie A TIM","Milan","--NA--","3300","596","3","false","false","226754","false","true","CDM,CM,CAM","1200"
"Däbritz","84","Rare","CM","Germany","D1 Arkema","OL","--NA--","0","0","1","true","false","227327","false","false","CM","1300"
"Nagasato","84","Rare","CAM","Japan","NWSL","Chicago Red Stars","--NA--","0","0","7","true","false","267275","false","false","CM,CAM,ST","1200"
"Rodman","84","Rare","RW","United States","NWSL","Washington Spirit","--NA--","0","0","5","true","true","266928","false","false","RM,RW,ST","50000"
"Bixby","84","Rare","GK","United States","NWSL","Portland Thorns","Min:1100 Max:10000","0","0","7","true","false","267215","false","false","GK","1200"
"Lobotka","84","Rare","CM","Slovakia","Serie A TIM","Napoli FC","Min:1100 Max:10000","0","0","7","true","false","216435","false","false","CDM,CM","1200"
"Luis Alberto","84","Rare","CM","Spain","Serie A TIM","Latium","Min:1100 Max:10000","0","0","7","true","false","198706","false","false","CM","1200"
"Marta Torrejón","84","Rare","RB","Spain","Liga F","FC Barcelona","Min:1100 Max:10000","0","0","7","true","false","227191","false","false","RWB,RB,CB","1200"
"Carrasco","84","Rare","LM","Belgium","ROSHN Saudi League","Al Shabab","Min:1100 Max:10000","0","0","7","true","false","50540066","false","false","LWB,LM,LW","1200"
"Martínez","84","Rare","CB","Argentina","Premier League","Manchester Utd","Min:1100 Max:10000","0","0","7","true","false","239301","false","false","CB","1400"
"Thiago","84","Rare","CM","Spain","Premier League","Liverpool","Min:1100 Max:10000","0","0","7","true","false","189509","false","false","CM","1200"
"Gabriel Jesus","84","Rare","ST","Brazil","Premier League","Arsenal","Min:1100 Max:19000","0","0","7","true","false","230666","false","false","CF,RW,ST","3700"
"Unai Simón","83","Rare","GK","Spain","LALIGA EA SPORTS","Athletic Club","--NA--","2800","589","3","false","false","230869","false","true","GK","900"
"Sergi Darder","83","Rare","CM","Spain","LALIGA EA SPORTS","RCD Mallorca","--NA--","1500","589","3","false","false","202648","false","true","CDM,CM,CAM","900"
"Fernández","83","Special","CM","Argentina","Premier League","Chelsea","--NA--","0","0","19","true","true","50578738","false","false","CDM,CM","13500"
"Pellegrini","83","Rare","CAM","Italy","Serie A TIM","Roma FC","--NA--","1900","589","30","false","false","228251","false","false","CM,CAM,CF","900"
"Sergio Busquets","83","Rare","CDM","Spain","MLS","Inter Miami CF","Min:850 Max:10000","0","0","7","true","false","189511","false","false","CDM","900"
"Shaw","83","Rare","LB","England","Premier League","Manchester Utd","Min:850 Max:10000","0","0","7","true","false","205988","false","false","CB,LB,LWB","900"
"Prašnikar","83","Rare","ST","Slovenia","GPFBL","Frankfurt","Min:850 Max:10000","0","0","7","true","false","264939","false","false","CF,ST","900"
"Patri Ojeda","83","Special","CB","Spain","Liga F","Sporting Huelva","Min:1000 Max:10000","0","0","7","true","false","50603899","false","false","CB","0"
"Mbock","83","Rare","CB","France","D1 Arkema","OL","Min:850 Max:10000","0","0","7","true","false","227346","false","false","CB","900"
"Morata","83","Rare","ST","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:850 Max:10000","0","0","7","true","false","201153","false","false","CF,ST","900"
"Oyarzabal","83","Rare","LM","Spain","LALIGA EA SPORTS","Real Sociedad","Min:850 Max:10000","0","0","7","true","false","230142","false","false","RM,LM,LW","900"
"Lacazette","83","Rare","ST","France","Ligue 1 Uber Eats","OL","Min:850 Max:10000","0","0","7","true","false","193301","false","false","CF,ST","900"
