ID,Name,Position,SM,WF,Rating,Color,League,Club,Country,Age,Rarity,Foot,Attack WR,Defense WR,Cost
1,Martin Ødegaard,CAM,5,2,84,gold,Premier League,Arsenal,Norway,24,Rare,Left,High,Med,4700
2,Thomas Partey,CDM,3,3,84,gold,Premier League,Arsenal,Ghana,29,Rare,Right,Med,High,4900
3,William Saliba,CB,2,3,83,gold,Premier League,Arsenal,France,21,TOTW,Right,Med,High,32250
4,Gabriel Jesus,ST,4,3,83,gold,Premier League,Arsenal,Brazil,25,Rare,Right,High,High,1700
5,Bukayo Saka,RM,3,3,82,gold,Premier League,Arsenal,England,21,Rare,Left,High,Med,1200
6,Aaron Ramsdale,GK,1,3,82,gold,Premier League,Arsenal,England,24,Rare,Right,Med,Med,1100
7,Kieran Tierney,LB,3,3,81,gold,Premier League,Arsenal,Scotland,25,Rare,Left,High,High,1100
8,Gabriel,CB,2,2,81,gold,Premier League,Arsenal,Brazil,25,Non Rare,Left,Med,High,900
9,William Saliba,CB,2,3,80,gold,Premier League,Arsenal,France,21,Rare,Right,Med,High,700
10,Smith Rowe,LM,4,4,80,gold,Premier League,Arsenal,England,22,Non Rare,Right,High,High,550
11,Oleksandr Zinchenko,LB,3,3,79,gold,Premier League,Arsenal,Ukraine,26,Non Rare,Left,High,Med,750
12,Ben White,CB,2,4,79,gold,Premier League,Arsenal,England,25,Non Rare,Right,High,Med,650
13,Granit Xhaka,CDM,3,2,79,gold,Premier League,Arsenal,Switzerland,30,Non Rare,Left,Low,Med,650
14,Takehiro Tomiyasu,RB,2,5,79,gold,Premier League,Arsenal,Japan,24,Non Rare,Right,Med,High,700
15,Gabriel Martinelli,LM,4,3,78,gold,Premier League,Arsenal,Brazil,21,Rare,Right,High,High,700
16,Fábio Vieira,CAM,3,3,77,gold,Premier League,Arsenal,Portugal,22,Non Rare,Left,High,Med,1300
17,Rob Holding,CB,2,3,77,gold,Premier League,Arsenal,England,27,Non Rare,Right,Low,High,700
18,Matt Turner,GK,1,2,77,gold,Premier League,Arsenal,United States,28,Non Rare,Right,Med,Med,650
19,Mohamed Elneny,CDM,3,3,76,gold,Premier League,Arsenal,Egypt,30,Non Rare,Right,Med,High,600
20,Albert Sambi Lokonga,CM,3,3,75,gold,Premier League,Arsenal,Belgium,23,Non Rare,Right,Med,Med,600
21,Cédric,RB,3,4,75,gold,Premier League,Arsenal,Portugal,31,Non Rare,Right,High,Med,700
22,Reiss Nelson,RW,4,3,73,silver,Premier League,Arsenal,England,23,Rare,Right,High,Med,1200
23,Marcus Vincius Oliveira Alencar,RM,3,3,73,silver,Premier League,Arsenal,Brazil,19,Rare,Left,High,High,800
24,Eddie Nketiah,ST,3,3,73,silver,Premier League,Arsenal,England,23,Rare,Right,High,Med,850
25,Karl Hein,GK,1,3,64,bronze,Premier League,Arsenal,Estonia,20,Rare,Right,Med,Med,550
26,Matthew Smith,CM,2,3,64,bronze,Premier League,Arsenal,England,22,Rare,Right,Med,Med,2000
27,Emiliano Martínez,GK,1,4,84,gold,Premier League,Aston Villa,Argentina,30,Rare,Right,Med,Med,4700
